========== key size = 16, value size = 16384 ===========
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
Latency for percentile 65 : 1.248113
Latency for percentile 66 : 1.335094
Latency for percentile 67 : 1.422075
Latency for percentile 68 : 1.509057
Latency for percentile 69 : 1.596038
Latency for percentile 70 : 1.683019
Latency for percentile 71 : 1.770000
Latency for percentile 72 : 1.856981
Latency for percentile 73 : 1.943962
Latency for percentile 74 : 3.426667
Latency for percentile 75 : 7.076923
Latency for percentile 76 : 9.913846
Latency for percentile 77 : 12.483333
Latency for percentile 78 : 15.008358
Latency for percentile 79 : 15.490000
Latency for percentile 80 : 15.971642
Latency for percentile 81 : 16.453284
Latency for percentile 82 : 16.934925
Latency for percentile 83 : 17.416567
Latency for percentile 84 : 17.898209
Latency for percentile 85 : 18.379851
Latency for percentile 86 : 18.861493
Latency for percentile 87 : 19.343134
Latency for percentile 88 : 19.824776
Latency for percentile 89 : 20.306418
Latency for percentile 90 : 20.788060
Latency for percentile 91 : 21.269701
Latency for percentile 92 : 21.751343
Latency for percentile 93 : 26.460000
Latency for percentile 94 : 35.360000
Latency for percentile 95 : 42.823810
Latency for percentile 96 : 50.287619
Latency for percentile 97 : 74.166667
Latency for percentile 98 : 155.600000
Latency for percentile 99 : 331.900000
Latency for percentile 100 : 2900.000000
Latency for percentile 0 : 0.000000
Latency for percentile 1 : 0.017869
Latency for percentile 2 : 0.035738
Latency for percentile 3 : 0.053607
Latency for percentile 4 : 0.071475
Latency for percentile 5 : 0.089344
Latency for percentile 6 : 0.107213
Latency for percentile 7 : 0.125082
Latency for percentile 8 : 0.142951
Latency for percentile 9 : 0.160820
Latency for percentile 10 : 0.178689
Latency for percentile 11 : 0.196557
Latency for percentile 12 : 0.214426
Latency for percentile 13 : 0.232295
Latency for percentile 14 : 0.250164
Latency for percentile 15 : 0.268033
Latency for percentile 16 : 0.285902
Latency for percentile 17 : 0.303770
Latency for percentile 18 : 0.321639
Latency for percentile 19 : 0.339508
Latency for percentile 20 : 0.357377
Latency for percentile 21 : 0.375246
Latency for percentile 22 : 0.393115
Latency for percentile 23 : 0.410984
Latency for percentile 24 : 0.428852
Latency for percenti
