========== key size = 16, value size = 1024 ===========
Initializing RocksDB Options from the specified file
Initializing RocksDB Options from command-line flags
Latency for percentile 55 : 0.901064
Latency for percentile 56 : 0.917447
Latency for percentile 57 : 0.933830
Latency for percentile 58 : 0.950213
Latency for percentile 59 : 0.966596
Latency for percentile 60 : 0.982979
Latency for percentile 61 : 0.999362
Latency for percentile 62 : 1.074000
Latency for percentile 63 : 1.151000
Latency for percentile 64 : 1.228000
Latency for percentile 65 : 1.305000
Latency for percentile 66 : 1.382000
Latency for percentile 67 : 1.459000
Latency for percentile 68 : 1.536000
Latency for percentile 69 : 1.613000
Latency for percentile 70 : 1.690000
Latency for percentile 71 : 1.767000
Latency for percentile 72 : 1.844000
Latency for percentile 73 : 1.921000
Latency for percentile 74 : 1.998000
Latency for percentile 75 : 2.750000
Latency for percentile 76 : 12.600000
Latency for percentile 77 : 25.480000
Latency for percentile 78 : 51.750000
Latency for percentile 79 : 61.375000
Latency for percentile 80 : 71.000000
Latency for percentile 81 : 82.290000
Latency for percentile 82 : 95.380000
Latency for percentile 83 : 108.470000
Latency for percentile 84 : 150.800000
Latency for percentile 85 : 174.500000
Latency for percentile 86 : 182.200000
Latency for percentile 87 : 189.900000
Latency for percentile 88 : 197.600000
Latency for percentile 89 : 205.300000
Latency for percentile 90 : 213.000000
Latency for percentile 91 : 220.700000
Latency for percentile 92 : 228.400000
Latency for percentile 93 : 236.100000
Latency for percentile 94 : 243.800000
Latency for percentile 95 : 269.500000
Latency for percentile 96 : 369.600000
Latency for percentile 97 : 518.000000
Latency for percentile 98 : 713.400000
Latency for percentile 99 : 968.900000
Latency for percentile 100 : 1178.000000
Keys:       16 bytes each (+ 0 bytes user-defined timestamp)
Values:     1024 bytes each (512 bytes after compression)
Entries:    5000000
Prefix:    0 bytes
Keys per prefix:    0
RawSize:    4959.1 MB (estimated)
FileSize:   2517.7 MB (estimated)
Write rate: 0 bytes/second
Read rate: 0 ops/second
Compression: Snappy
Compression sampling rate: 0
Memtablerep: skip_list
Perf Level: 1
